Aas	[aːs]		死肉；腐肉〈n.〉
geschätzt	[ɡɛʃɛt͡st]		估算的；估计的；预计的〈adj.〉
geschützt	[ɡɛʃʏt͡st]		受庇护的；受保护的〈adv.〉
gesegnet	[ɡeːzəɡnət]		神圣的〈adv.〉
gesetzlich	[ɡeːzət͡sliːç]		所有者的；所有权的〈adj.〉
gespannt	[ɡɛspant]		期待的；绷紧〈adj.〉
gesperrt	[ɡɛspəʁt]		难得到的；难接近的；难达成的〈adv.〉
gesprächig	[ɡɛspʁɛçɪç]		爱说话地；饶舌地〈adv.〉
gestalten	[ɡɛstaltən]		框；结构；体格；构成〈v.〉
gestatten	[ɡɛstatən]		允许〈v.〉
gestehen	[ɡɛsteːən]		承认〈v.〉
gestern	[ɡɛstɐn]		昨天〈adv.〉
gestrandet	[ɡɛstʁandət]		搁浅地；地面上〈adv.〉
gestört	[ɡɛstœʁt]		不整齐的；未处理的；未决定的；未决的〈adv.〉
gesund	[ɡeːzʊnt]		健康的〈adj.〉
gesunden	[ɡeːzʊndən]		重新获得；恢复；复原〈v.〉
gesunder	[ɡeːzʊndɐ]		常识〈adv.〉
geteilt	[ɡeːtaɪlt]		分开的；共享的〈adv.〉
getragen	[ɡɛtʁaɡən]		怠惰的；疲倦的；无力的〈v.〉
getrennt	[ɡɛtʁənt]		分开的〈adj.〉
gewagt	[ɡɛvaɡt]		刀口锐利的；尖利的；急躁的〈adv.〉
gewaltig	[ɡɛvaltɪç]		巨大的〈adj.〉
gewaltsam	[ɡɛvaltzaːm]		暴力的；猛烈的；激烈的〈adv.〉
gewandt	[ɡɛvandt]		巧妙地；敏捷地；便利地〈adv.〉
gewinnen	[ɡɛvɪnən]		赢〈v.〉
gewiss	[ɡɛvɪs]		确定的〈adj.〉
gewisse	[ɡɛvɪsə]		某种〈adj.〉
gewissermaßen	[ɡɛvɪsəʁmasən]		在某种程度上；稍稍〈adv.〉
gewähren	[ɡɛvɛːʁən]		给予〈v.〉
gewöhnen	[ɡɛvøːnən]		习惯〈v.〉
gewöhnlich	[ɡɛvøːnliːç]		通常的〈adj.〉
gewöhnliche	[ɡɛvøːnlɪçə]		较少的；较小的；次要的〈adv.〉
gewöhnlicher	[ɡɛvøːnlɪçɐ]		甜蜜；糖果；情人；甜的〈adv.〉
gewünscht	[ɡɛvʏnʃt]		令人想望的；可取的〈adj.〉
gezeichnet	[ɡeːt͡saɪçnət]		有符号的；有正负之分的；已签字的〈adj.〉
gezielt	[ɡeːt͡siːlt]		目标\\目的〈adj.〉
geöffnet	[ɡɛœfnət]		开放的〈adj.〉
gierig	[ɡiːʁɪç]		贪心地；热心地〈adv.〉
giftig	[ɡɪftɪç]		有毒的；恶毒的；讨厌的〈adj.〉
giftige	[ɡɪftɪɡə]		有毒的；中毒的；毒物的〈adv.〉
glatt	[ɡlat]		光滑的；顺利〈adj.〉
glauben	[ɡlaʊbən]		相信〈v.〉
glaubwürdig	[ɡlaʊbvʏʁdɪç]		可信的；可靠的〈adj.〉
gleich	[ɡlaɪç]		马上；相同的〈adv.〉
gleiche	[ɡlaɪçə]		相同的〈adj.〉
gleichfalls	[ɡlaɪçfals]		同样地；也〈adv.〉
gleichgültig	[ɡlaɪçɡʏltɪç]		心不在焉的；不注意的〈adj.〉
gleichmäßig	[ɡlaɪçmɛsɪç]		一样；一致；相同〈adj.〉
gleichzeitig	[ɡlaɪçt͡saɪtɪç]		同时〈adv.〉
global	[ɡloːbaːl]		通用的；全球的；球形的〈adj.〉
globale	[ɡloːbalə]		通用的；全球的；球形的〈adv.〉
glotzen	[ɡlɔt͡sən]		眼睛瞪视〈v.〉
glänzend	[ɡlɛnt͡sənt]		辉煌地；光亮地；灿烂地〈adv.〉
gläubig	[ɡlɔʏbɪç]		虔诚的；虔敬的；诚恳的〈adj.〉
glücklich	[ɡlʏkliːç]		幸福的；幸运的〈adj.〉
glückliche	[ɡlʏklɪçə]		金的；含金的；金色的〈adv.〉
glücklicher	[ɡlʏklɪçɐ]		意外事件〈adv.〉
glücklicherweise	[ɡlʏklɪçəʁvaɪzə]		幸运地；幸亏〈adv.〉
glückliches	[ɡlʏklɪçəs]		幸福的；吉祥的〈adv.〉
gnadenlos	[ɡnaːdənlɔs]		无慈悲心的；残忍的〈adj.〉
gnädig	[ɡnɛːdɪç]		仁慈的；慈悲的〈adj.〉
goldenes	[ɡɔldənəs]		金门海峡〈adv.〉
graben	[ɡʁaːbən]		挖〈v.〉
gratis	[ɡʁaːtɪs]		免费的〈adj.〉
gratulieren	[ɡʁaːtʊliːʁən]		祝贺〈v.〉
grau	[ɡʁaʊ]		灰色的；暗淡的〈adv.〉
grauenhaft	[ɡʁaʊənhaft]		残暴的；凶恶的〈adv.〉
grauenvoll	[ɡʁaʊənfɔl]		冷酷的；坚强的；残忍的〈adv.〉
grauer	[ɡʁaʊɐ]		大瀑布；奔流；暴雨〈adv.〉
grausam	[ɡʁaʊzaːm]		残忍的〈adj.〉
greifen	[ɡʁaɪfən]		抓〈v.〉
griechisch	[ɡʁiːçɪʃ]		希腊人；希腊人的；希腊〈adj.〉
grob	[ɡʁoːp]		粗糙的〈adj.〉
grobe	[ɡʁoːbə]		瞎猜；瞎估计〈adv.〉
groß	[ɡʁoːs]		大的〈adj.〉
großartig	[ɡʁoːsaʁtɪç]		极好的〈adj.〉
großzügig	[ɡʁɔst͡sʏɡɪç]		大方的〈adj.〉
großzügige	[ɡʁɔst͡sʏɡɪɡə]		慷慨的；大方的；宽宏大量的〈adv.〉
grundlos	[ɡʁʊndlɔs]		无理性的；不明道理的；不合理的〈adv.〉
grundsätzlich	[ɡʁʊndzɛt͡sliːç]		原则的；有原则的；原则性的〈adj.〉
gruselig	[ɡʁuːzəlɪç]		恐怖的〈adj.〉
grässlich	[ɡʁɛsliːç]		可怕的；悲惨的；阴沉的〈adj.〉
größer	[ɡʁøːsɐ]		更大的〈adj.〉
größte	[ɡʁœstə]		最大的〈adj.〉
größtenteils	[ɡʁœstəntaɪls]		在极大程度上〈adv.〉
grün	[ɡʁyːn]		绿色的〈adj.〉
gründen	[ɡʁʏndən]		创立〈v.〉
gründlich	[ɡʁʏndliːç]		彻底的〈adj.〉
grüßen	[ɡʁyːsən]		问候〈v.〉
gucken	[ɡʊkən]		看（口语）〈v.〉
gut	[ɡuːt]		好的〈adj.〉
gutaussehend	[ɡuːtaʊseːənt]		好看的〈adv.〉
gänzlich	[ɡɛnt͡sliːç]		完全地；整个；统统〈adv.〉
göttlich	[ɡœtliːç]		神的；神圣的〈adj.〉
göttliche	[ɡœtlɪçə]		精神上的；神圣的；崇高的〈adv.〉
gültig	[ɡʏltɪç]		有确实根据的；有法律效力的；正当的〈adj.〉
günstig	[ɡʏnstɪç]		有益的；有用的〈adj.〉
gütig	[ɡyːtɪç]		深情的；充满情爱的〈adj.〉
haaren	[haːʁən]		车棚；小屋；脱落之物〈v.〉
haben	[haːbən]		有〈v.〉
hacken	[hakən]		砍；黑入〈v.〉
halb	[halp]		一半〈adj.〉
halbwegs	[halbvəɡs]		一些；一部分〈adv.〉
hallen	[halən]		回声；回音〈v.〉
hallo	[halɔ]		你好〈interj.〉
halt	[halt]		就是（语气词）〈adv.〉
halten	[haltən]		握住；保持〈v.〉
handeln	[handəln]		行动；交易〈v.〉
handvoll	[handfɔl]		一把；一小撮〈adj.〉
harmlos	[haʁmlɔs]		无害的〈adj.〉
hart	[haʁt]		硬的；艰难的〈adj.〉
hartnäckig	[haʁtnɛkɪç]		坚持地；固执地；一个劲儿〈adj.〉
hassen	[hasən]		讨厌〈v.〉
hastig	[hastɪç]		匆忙地；急速地；急躁地〈adj.〉
hauen	[haʊən]		打〈v.〉
hauptsächlich	[haʊptzɛçliːç]		主要地〈adv.〉
heben	[heːbən]		举起〈v.〉
heftig	[hɛftɪç]		剧烈的〈adj.〉
heftige	[hɛftɪɡə]		憎恶；讨厌；臭名〈adv.〉
heftiger	[hɛftɪɡɐ]		暴风雨；使骚动〈adv.〉
heikel	[haɪkəl]		易怒的；爱挑剔的；难取悦的〈adj.〉
heil	[haɪl]		完好的〈adj.〉
heilen	[haɪlən]		治愈〈v.〉
heilig	[haɪlɪç]		神圣的；圣洁的〈adj.〉
heilige	[haɪlɪɡə]		神圣的〈adj.〉
heim	[haɪm]		回家；家乡〈adv.〉
heimfahren	[haɪmfaːʁən]		回家〈v.〉
heimkommen	[haɪmkɔmən]		回家〈v.〉
heimlich	[haɪmliːç]		秘密的〈adj.〉
heiraten	[haɪʁatən]		结婚〈v.〉
heiter	[haɪtɐ]		快活的；活泼的〈adv.〉
heiß	[haɪs]		热的〈adj.〉
heißen	[haɪsən]		叫做〈v.〉
helfen	[hɛlfən]		帮助〈v.〉
hell	[hɛl]		明亮的〈adj.〉
helle	[hɛlə]		飘；摆动；拍打〈adv.〉
her	[hɐ]		（方向）过来〈adv.〉
heran	[heːʁaːn]		靠近〈adv.〉
heraus	[heːʁaʊs]		出来〈adv.〉
herausfinden	[heːʁaʊsfɪndən]		查明〈v.〉
herausfordern	[heːʁaʊsfɔʁdɐn]		藐视；挑衅；使落空；挑战〈v.〉
herauskommen	[heːʁaʊskɔmən]		到边远地区来；出现；露出〈v.〉
herb	[hɛʁp]		干的；无酒的；枯燥无味的〈adv.〉
herein	[heːʁaɪn]		进来〈adv.〉
hereingelegt	[heːʁaɪnɡələɡt]		受骗；被愚弄〈adv.〉
hereinkommen	[heːʁaɪnkɔmən]		进来；到达；流行起来〈v.〉
hergeben	[hɛʁɡəbən]		分发；放弃；泄露〈v.〉
herhören	[hɛʁhœʁən]		听好了〈v.〉
herrlich	[hɛʁliːç]		极好的〈adj.〉
herrliches	[hɛʁlɪçəs]		极好；精彩〈adv.〉
herrschen	[hɛʁʃən]		统治〈v.〉
herstellen	[hɛʁstələn]		生产〈v.〉
herum	[heːʁuːm]		到处；四周〈adv.〉
herumlaufen	[heːʁʊmlaʊfən]		跑来跑去；到处乱跑〈v.〉
herumsitzen	[heːʁʊmzɪt͡sən]		坐着不干；袖手旁观〈v.〉
herunter	[heːʁʊntɐ]		向下〈adv.〉
hervor	[hɛʁfoːɐ]		出来〈adv.〉
hervorragend	[hɛʁfɔʁaɡənt]		出色的〈adj.〉
herzlich	[hɛʁt͡sliːç]		衷心的〈adj.〉
herzlos	[hɛʁt͡slɔs]		无情的；无勇气的〈adj.〉
herüber	[heːʁʏbɐ]		在这里〈adv.〉
hetzen	[hɛt͡sən]		追捕；激励〈v.〉
heulen	[hɔʏlən]		嚎哭〈v.〉
heute	[hɔʏtə]		今天〈adv.〉
heutzutage	[hɔʏt͡sʊtaɡə]		如今〈adv.〉
hier	[hiːɐ]		这里〈adv.〉
hierbei	[hiːʁbaɪ]		一会儿；虽然；消磨〈adv.〉
hierbleiben	[hiːʁblaɪbən]		留在这里〈v.〉
hierher	[hiːʁhɐ]		到这里〈adv.〉
hierherkommen	[hiːʁhəʁkɔmən]		来这里〈v.〉
hierhin	[hiːʁhiːn]		到这里〈adv.〉
hiermit	[hiːʁmiːt]		以此〈adv.〉
hiervon	[hiːʁfoːn]		于此；关于此点〈adv.〉
hilflos	[hɪlflɔs]		无助的〈adj.〉
hilfreich	[hɪlfʁaɪç]		有帮助的〈adj.〉
himmlisch	[hɪmlɪʃ]		天上的；神圣的；天国似的〈adj.〉
himmlische	[hɪmlɪʃə]		神的；神圣的〈adv.〉
hin	[hiːn]		（方向）过去〈adv.〉
hinauf	[hiːnaʊf]		向上〈adv.〉
hinaus	[hiːnaʊs]		出去（方向）〈adv.〉
hinbringen	[hɪnbʁɪnɡən]		拿；取；抓〈v.〉
hindern	[hɪndɐn]		阻碍〈v.〉
hindurch	[hɪndʊʁç]		穿越；从头至尾；到底〈adv.〉
hinein	[hiːnaɪn]		进入〈adv.〉
hineingehen	[hiːnaɪnɡeːən]		走进；放得进；参加〈v.〉
hinfahren	[hɪnfaːʁən]		开车去〈v.〉
hingegen	[hɪnɡəɡən]		然而；鉴于；考虑到〈v.〉
hingehen	[hɪnɡeːən]		过去〈v.〉
hingehören	[hɪnɡeːœʁən]		属于；合适〈v.〉
hingelegt	[hɪnɡələɡt]		储存；存放〈adv.〉
hinlegen	[hɪnləɡən]		躺下〈v.〉
hinsehen	[hɪnzeːən]		一看；神色；样子〈v.〉
hinsetzen	[hɪnzət͡sən]		坐下〈v.〉
hinten	[hɪntən]		在后面〈adv.〉
hinter	[hɪntɐ]		在…后面〈präp.〉
hintere	[hɪntəʁə]		后面的；后部的〈adv.〉
hintereinander	[hɪntəʁaɪnandɐ]		连续地〈adv.〉
hintergehen	[hɪntəʁɡeːən]		欺骗；骗取；诈取〈v.〉
hinterher	[hɪntəʁhɐ]		之后；跟随〈adv.〉
hinterhältig	[hɪntəʁhɛltɪç]		蛇的；蛇一般的；弯弯曲曲的〈adj.〉
hinterlassen	[hɪntəʁlasən]		留下〈v.〉
hinterm	[hɪntəʁm]		旁敲侧击〈adv.〉
hinunter	[hiːnʊntɐ]		向下〈adv.〉
hinweg	[hɪnvək]		越过〈adv.〉
hinwegkommen	[hɪnvəɡkɔmən]		爬过；克服；熬过〈v.〉
hinzufügen	[hɪnt͡sʊfʏɡən]		附加〈v.〉
hinzugefügt	[hɪnt͡sʊɡəfʏɡt]		已添加的；附加的〈adv.〉
hinüber	[hiːnʏbɐ]		吃够了苦头；受到了致命打击；陈旧不堪〈adv.〉
hip	[hiːp]		摇摆舞的；无节制的；乱窜的〈adv.〉
historische	[hɪstɔʁɪʃə]		历史的；史实的〈adv.〉
hoch	[hoːx]		高的〈adj.〉
hochgehen	[hɔxɡeːən]		使充气；爆炸；放大；爆发〈v.〉
hocken	[hɔkən]		蹲；窝；蹲着的〈v.〉
hoffen	[hɔfən]		希望〈v.〉
hoffentlich	[hɔfəntliːç]		但愿〈adv.〉
hoffnungslos	[hɔfnʊnɡslɔs]		无希望的；绝望的；不可救药的〈adv.〉
hohes	[hoːəs]		高的；高贵的〈adv.〉
hold	[hɔlt]		可爱的；有趣的〈adv.〉
holen	[hoːlən]		取来〈v.〉
homosexuell	[hoːmɔzəksʊəl]		同性恋的〈adj.〉
huch	[huːx]		哎哟〈adv.〉
hundert	[hʊndɐt]		百〈num.〉
hunderte	[hʊndəʁtə]		数百〈num.〉
hundertprozentig	[hʊndəʁtpʁɔt͡səntɪç]		百；百个；一百的〈adj.〉
hungrig	[hʊnɡʁɪç]		饥饿的〈adj.〉
hurra	[hʊʁa]		万岁〈interj.〉
hypothetisch	[hʏpɔtətɪʃ]		假设的；有待证实的；假定的〈adj.〉
hysterisch	[hʏsteːʁɪʃ]		歇斯底里的〈adj.〉
hämmern	[hɛmɐn]		锤；铁锤；钉锤；锤打〈v.〉
hängen	[hɛnɡən]		挂〈v.〉
härter	[hɛʁtɐ]		更硬的；更难的〈adj.〉
hässlich	[hɛsliːç]		丑的〈adj.〉
häufig	[hɔʏfɪç]		频繁的〈adj.〉
häufiger	[hɔʏfɪɡɐ]		更常发生的（häufig 比较级）〈adj.〉
höchst	[hœkst]		极其；最高〈adv.〉
höchste	[hœkstə]		最高的〈adj.〉
höchstens	[hœkstəns]		至多〈adv.〉
höchster	[hœkstɐ]		紧急状况〈adv.〉
höchstwahrscheinlich	[hœkstvaːʁʃaɪnliːç]		大半有希望赢的；多半有希望取胜的〈adj.〉
höflich	[hœfliːç]		有礼貌的；文雅的；客气的〈adj.〉
höher	[høːɐ]		更高的〈adj.〉
höllisch	[hœlɪʃ]		地狱的；凶恶的；令人毛骨悚然的〈adj.〉
hören	[høːʁən]		听〈v.〉
hübsch	[hʏbʃ]		漂亮的〈adj.〉
hüten	[hyːtən]		守卫者；警戒；护卫队〈v.〉
ich	[ɪç]		我〈pron.〉
identifizieren	[iːdəntɪfɪt͡siːʁən]		识别〈v.〉
identisch	[iːdəntɪʃ]		同一的；恒等的〈adj.〉
idiotisch	[iːdɪɔtɪʃ]		笨蛋；呆子〈adj.〉
ignorieren	[ɪɡnɔʁiːʁən]		忽视〈v.〉
ihr	[iːɐ]		你们；她的；他们的〈pron.〉
illegal	[ɪləɡaːl]		非法的〈adj.〉
illegale	[ɪləɡalə]		不法的；不正当的；禁止的；违法的〈adv.〉
illegaler	[ɪləɡalɐ]		违法的；犯规的〈adv.〉
illegales	[ɪləɡaləs]		非法交易〈adv.〉
im	[ɪm]		在…里（in dem 缩合）〈präp.〉
imitiert	[iːmɪtiːʁt]		人造的；假的〈adv.〉
immer	[ɪmɐ]		总是〈adv.〉
immerhin	[ɪməʁhiːn]		至少；毕竟〈adv.〉
immun	[ɪmuːn]		免疫的；免除的〈adv.〉
improvisieren	[ɪmpʁɔfɪziːʁən]		即席创作；临时做〈v.〉
impulsiv	[ɪmpʊlziːf]		冲动的；受感情驱使的；任性的〈adv.〉
in	[iːn]		在…里〈präp.〉
indem	[ɪndəm]		通过…方式〈konj.〉
ineinander	[iːnaɪnandɐ]		进入...之内；朝...；深入...之中〈adv.〉
infizieren	[ɪnfɪt͡siːʁən]		感染〈v.〉
informieren	[ɪnfɔʁmiːʁən]		通知〈v.〉
inklusive	[ɪnklʊzɪfə]		包括〈präp.〉
inmitten	[ɪnmɪtən]		在中部；正忙于；拦腰〈v.〉
innen	[ɪnən]		在内部〈adv.〉
innere	[ɪnəʁə]		内在的；国内的；内的；内部的〈adv.〉
inneres	[ɪnəʁəs]		本质的；原有的；真正的；内部的〈adv.〉
innerhalb	[ɪnəʁhalp]		在…之内〈präp.〉
innerlich	[ɪnəʁliːç]		内部的；内心的；内部〈adj.〉
ins	[ɪns]		到…里（in das 缩合）〈präp.〉
insbesondere	[ɪnsbəzɔndəʁə]		特别；格外；尤其〈adv.〉
insgeheim	[ɪnsɡeːaɪm]		秘密地；背地里〈adv.〉
insgesamt	[ɪnsɡəzamt]		总共〈adv.〉
inspirierend	[ɪnspɪʁiːʁənt]		凭灵感的；鼓舞人心的；神感的〈adv.〉
instabil	[ɪnstabiːl]		不稳定的〈adv.〉
intakt	[ɪntakt]		尚未被人碰过的；原封不动的；完整的〈adv.〉
intelligent	[ɪntəlɪɡənt]		聪明的〈adj.〉
intelligenter	[ɪntəlɪɡəntɐ]		聪明的；智能的；了解的〈adv.〉
intensiv	[ɪntənziːf]		非常的；强烈的；紧张的〈adv.〉
interessant	[ɪntəʁəsant]		有趣的〈adj.〉
interessieren	[ɪntəʁəsiːʁən]		感兴趣〈v.〉
international	[ɪntəʁnat͡sjoːnaːl]		国际的〈adj.〉
interne	[ɪntəʁnə]		领导人会议〈adv.〉
interviewen	[ɪntəʁfiːvən]		面谈；访问；接见〈v.〉
intim	[ɪntiːm]		亲密的；私人的〈adj.〉
investieren	[ɪnfəstiːʁən]		投资〈v.〉
inwiefern	[ɪnviːfɐn]		在何种程度上〈adv.〉
inzwischen	[ɪnt͡svɪʃən]		与此同时〈adv.〉
irgendein	[ɪʁɡəndaɪn]		某一个〈pron.〉
irgendetwas	[ɪʁɡəndətvas]		某事〈pron.〉
irgendjemand	[ɪʁɡəndjəmant]		某人〈pron.〉
irgendwann	[ɪʁɡəndvan]		某个时候〈adv.〉
irgendwas	[ɪʁɡəndvas]		某些东西（口语）〈pron.〉
irgendwelche	[ɪʁɡəndvəlçə]		任何的〈pron.〉
irgendwie	[ɪʁɡəndviː]		不知怎么地〈adv.〉
irgendwo	[ɪʁɡəndvɔ]		在某处〈adv.〉
irgendwoher	[ɪʁɡəndvoːɐ]		从；来自；根据〈adv.〉
irgendwohin	[ɪʁɡəndvoːiːn]		去某处〈adv.〉
ironisch	[iːʁɔnɪʃ]		冷嘲的；挖苦的；反话的〈adj.〉
irre	[ɪʁə]		疯的〈adj.〉
irren	[ɪʁən]		弄错〈v.〉
irritiert	[ɪʁɪtiːʁt]		性急地；暴躁地；过敏地〈adv.〉
isoliert	[iːzɔliːʁt]		隔热的；绝缘的〈adj.〉
ja	[jaː]		是的〈adv.〉
jagen	[jaːɡən]		追猎〈v.〉
jahrelang	[jaːʁəlank]		多年的〈adj.〉
japanisch	[jaːpanɪʃ]		日本人；日语；日本的；日语的〈adj.〉
jawohl	[javoːl]		遵命；是的〈interj.〉
je	[jə]		曾经；越…越〈adv.〉
jedenfalls	[jeːdənfals]		无论如何〈adv.〉
jeder	[jeːdɐ]		每个〈pron.〉
jedermann	[jeːdəʁman]		每个人〈adv.〉
jederzeit	[jeːdəʁt͡saɪt]		随时〈adv.〉
jedoch	[jeːdoːx]		然而〈adv.〉
jegliche	[jɛɡlɪçə]		任何〈pron.〉
jeglicher	[jɛɡlɪçɐ]		苍蝇；两翼昆虫；飞行；飞〈adv.〉
jemals	[jeːmals]		曾经〈adv.〉
jemand	[jeːmant]		某人〈pron.〉
jene	[jeːnə]		那〈adv.〉
jenseits	[jɛnzaɪts]		在…彼岸〈adv.〉
jetzt	[jɛt͡st]		现在〈adv.〉
jeweils	[jɛvaɪls]		每一；所有的〈adv.〉
joggen	[jɔɡən]		轻推；轻撞；慢跑〈v.〉
jubeln	[juːbəln]		欢呼〈v.〉
jung	[jʊnk]		年轻的〈adj.〉
jährlich	[jɛːʁliːç]		年刊；年报；每年的；一年一次的〈adj.〉
jämmerlich	[jɛməʁliːç]		可鄙；卑鄙〈adv.〉
jüdisch	[jyːdɪʃ]		犹太人的；犹太族的〈adj.〉
jünger	[jʏnɡɐ]		更年轻的〈adj.〉
kahl	[kaːl]		无叶的〈adv.〉
kalt	[kalt]		冷的〈adj.〉
kaltblütig	[kaltblʏtɪç]		冷血的；无情的；残酷的〈adj.〉
kalter	[kaltɐ]		感冒；寒冷；寒冷的；冷淡的〈adv.〉
kaltes	[kaltəs]		寒冷的；冰凉的〈adv.〉
kandidieren	[kandɪdiːʁən]		跑；赛跑；奔跑〈v.〉
kapieren	[kaːpiːʁən]		明白（口语）〈v.〉
kaputt	[kaːpʊt]		坏了的〈adj.〉
kaputtmachen	[kaːpʊtmaxən]		休息；中断；破裂处〈v.〉
kassieren	[kasiːʁən]		收集；聚集；集中〈v.〉
katholisch	[katɔlɪʃ]		普遍的；广泛的〈adj.〉
kauen	[kaʊən]		咀嚼；嚼碎；细想〈v.〉
kaufen	[kaʊfən]		买〈v.〉
kaum	[kaʊm]		几乎不〈adv.〉
kehren	[keːʁən]		返回；扫〈v.〉
kein	[kaɪn]		没有；无〈pron.〉
keinerlei	[kaɪnəʁlaɪ]		毫无〈pron.〉
keines	[kaɪnəs]		没有一个〈pron.〉
keinesfalls	[kaɪnəsfals]		在任何情况下都不；决不〈adv.〉
keineswegs	[kaɪnəsvəɡs]		一点也不〈adv.〉
keins	[kaɪns]		没有一个〈pron.〉
kennen	[kɛnən]		认识〈v.〉
kennenlernen	[kɛnənləʁnən]		认识〈v.〉
keuchen	[kɔʏxən]		喘气；喘息〈v.〉
kichern	[kɪçɐn]		吃吃地笑；傻笑〈v.〉
kindisch	[kɪndɪʃ]		天真的；孩子气的〈adj.〉
kitschig	[kɪt͡ʃɪç]		俗气的〈adj.〉
klagen	[klaːɡən]		抱怨；起诉〈v.〉
klappen	[klapən]		顺利〈v.〉
klappern	[klapɐn]		咔嗒声；哗啦声〈v.〉
klar	[klaːɐ]		清楚的〈adj.〉
klarkommen	[klaʁkɔmən]		通过；混过〈v.〉
klarstellen	[klaʁstələn]		澄清〈v.〉
klassisch	[klasɪʃ]		古典作品；杰作〈adj.〉
klassische	[klasɪʃə]		经典的〈adj.〉
klauen	[klaʊən]		偷（口语）〈v.〉
kleben	[kleːbən]		棍；棒；刺〈v.〉
klein	[klaɪn]		小的〈adj.〉
kleinere	[klaɪnəʁə]		行为不良；失职；毁约；怠工〈adv.〉
kleinlich	[klaɪnliːç]		小气的；吝啬的；缺乏的〈adj.〉
klettern	[klɛtɐn]		攀爬〈v.〉
klingeln	[klɪnɡəln]		铃响〈v.〉
klingen	[klɪnɡən]		听起来〈v.〉
klonen	[kloːnən]		无性系；代用件〈v.〉
klopfen	[klɔpfən]		敲〈v.〉
klug	[kluːk]		聪明的〈adj.〉
klären	[klɛːʁən]		澄清〈v.〉
knacken	[knakən]		破解；爆裂〈v.〉
knallen	[knalən]		砰地一声关上；爆炸；泡汤了〈v.〉
knallhart	[knalhaʁt]		刀剑搏杀〈adv.〉
knapp	[knap]		勉强的；紧凑〈adj.〉
knarren	[knaʁən]		广口瓶；震动〈v.〉
knurren	[knʊʁən]		吠声；咆哮声；怒吠；咆哮〈v.〉
knutschen	[knʊt͡ʃən]		亲吻搂抱（口）〈v.〉
kochen	[kɔxən]		煮〈v.〉
komisch	[koːmɪʃ]		奇怪的〈adj.〉
kommen	[kɔmən]		来〈v.〉
kommunizieren	[kɔmʊnɪt͡siːʁən]		沟通〈v.〉
komplett	[kɔmplət]		完整的〈adj.〉
komplexe	[kɔmpləksə]		复杂的；综合的〈adv.〉
kompliziert	[kɔmplɪt͡siːʁt]		复杂的〈adj.〉
kontaktieren	[kɔntaktiːʁən]		联络〈v.〉
kontrollieren	[kɔntʁɔliːʁən]		控制〈v.〉
konzentrieren	[kɔnt͡səntʁiːʁən]		集中〈v.〉
konzentriert	[kɔnt͡səntʁiːʁt]		集中的；浓缩的；浓的〈adj.〉
kooperativ	[koːpəʁatiːf]		合作的；合作社的〈adj.〉
kooperieren	[koːpəʁiːʁən]		合作〈v.〉
koordinieren	[koːʁdɪniːʁən]		同等的人；坐标；同等的；并列的；协调〈v.〉
korrekt	[kɔʁəkt]		正确的〈adj.〉
korrigieren	[kɔʁɪɡiːʁən]		权利；右边；正义〈v.〉
korrupt	[kɔʁʊpt]		弯曲的〈adv.〉
kostbar	[kɔstbaːɐ]		宝贵的；珍贵的；过于精致的〈adj.〉
kosten	[kɔstən]		花费〈v.〉
kostenlos	[kɔstənlɔs]		自由的；享受政治权力的；允许的〈adv.〉
krachen	[kʁaxən]		砰然作响〈v.〉
krank	[kʁank]		生病的〈adj.〉
kranker	[kʁankɐ]		患病的；病态的〈adv.〉
krass	[kʁas]		夸张的（口语）〈adj.〉
kreativ	[kʁɛatiːf]		有创造力的；创作的；产生的〈adv.〉
kreative	[kʁɛatɪfə]		区域；面积；范围〈adv.〉
kreisen	[kʁaɪzən]		不停地转动〈v.〉
krepieren	[kʁeːpiːʁən]		死亡；消逝；平息〈v.〉
kreuzen	[kʁɔʏt͡sən]		十字架；十字架形物件；交叉〈v.〉
kriegen	[kʁiːɡən]		得到（口语）〈v.〉
kritisch	[kʁiːtɪʃ]		批评的；决定性的；危险的〈adj.〉
krumm	[kʁʊm]		弯曲的；歪的；邪恶的〈adv.〉
kräftig	[kʁɛftɪç]		有力的〈adj.〉
kräftiger	[kʁɛftɪɡɐ]		鼻涕虫；刺蛾；懒汉〈adv.〉
krähen	[kʁɛːən]		啼叫；乌鸦；鸡鸣〈v.〉
kurz	[kʊʁt͡s]		短的〈adj.〉
kurzes	[kʊʁt͡səs]		浸；降下；把伸入〈adv.〉
kurzfristig	[kʊʁt͡sfʁɪstɪç]		短的；近的；矮的〈adj.〉
kuscheln	[kʊʃəln]		紧抱〈v.〉
kämpfen	[kɛmpfən]		战斗〈v.〉
königliche	[køːnɪɡlɪçə]		王室的〈adj.〉
können	[kœnən]		能；会〈v.〉
körperlich	[kœʁpəʁliːç]		身体的；体力的〈adj.〉
körperliche	[kœʁpəʁlɪçə]		行使；执行；运动〈adv.〉
köstlich	[kœstliːç]		美味的〈adj.〉
kühl	[kyːl]		凉爽；冷淡的〈adv.〉
kühn	[kyːn]		大胆的〈adj.〉
kümmern	[kʏmɐn]		照料〈v.〉
kündigen	[kʏndɪɡən]		辞职；解约〈v.〉
künstlich	[kʏnstliːç]		人造的；假的〈adj.〉
künstliche	[kʏnstlɪçə]		人造的；假的〈adv.〉
kürzen	[kʏʁt͡sən]		缩减；剥夺；简略；剥夺特权〈v.〉
