abaisser	[abese]		降低；放下〈v.〉
supprimer	[sypʁime]		删除；取消〈v.〉
suprême	[sypʁɛm]		最高的；至上的〈adj.〉
supérieur	[sypeʁjœʁ]		上级的；更高的；优越的〈adj.〉
sur	[syʁ]		在……上面；关于〈prép.〉
sur-le-champ	[syʁləʃɑ̃]		立即；当场〈adv.〉
surcharger	[syʁʃaʁʒe]		使超载；使负担过重〈v.〉
surf	[sœʁf]		冲浪（运动）〈n.m.〉
surface	[syʁfas]		表面；面积〈n.f.〉
surfer	[sœʁfe]		冲浪；上网浏览〈v.〉
surgir	[syʁʒiʁ]		突然出现；涌现〈v.〉
surmonter	[syʁmɔ̃te]		克服；翻越〈v.〉
surnaturel	[syʁnatyʁɛl]		超自然的〈adj.〉
surnom	[syʁnɔ̃]		绰号；外号〈n.m.〉
surnommer	[syʁnome]		起绰号〈v.〉
surpasser	[syʁpase]		超过；胜过〈v.〉
surprenant	[syʁpʁənɑ̃]		惊人的；出人意料的〈adj.〉
surprendre	[syʁpʁɑ̃dʁ]		使吃惊；撞见〈v.〉
surpris	[syʁpʁi]		吃惊的；意外的〈adj.〉
surprise	[syʁpʁiz]		惊喜；意外〈n.f.〉
sursis	[syʁsi]		缓刑；宽限期〈n.m.〉
surtout	[syʁtu]		尤其是；特别〈adv.〉
surveillance	[syʁvɛjɑ̃s]		监视；监督〈n.f.〉
surveillant	[syʁvɛjɑ̃]		监视者；看守；监考人〈n.m.〉
surveiller	[syʁveje]		监视；照看〈v.〉
survenir	[syʁvəniʁ]		突然发生〈v.〉
survie	[syʁvi]		生存；幸存〈n.f.〉
survivant	[syʁvivɑ̃]		幸存者〈n.m.〉
survivre	[syʁvivʁ]		幸存；存活〈v.〉
survoler	[syʁvole]		飞越；略读〈v.〉
susceptible	[sysɛptibl]		可能……的；易怒的〈adj.〉
susciter	[sysite]		引起；激起〈v.〉
suspect	[syspɛ]		嫌疑人；可疑的〈n.m.〉
suspecter	[syspɛkte]		怀疑；猜想〈v.〉
suspendre	[syspɑ̃dʁ]		悬挂；暂停〈v.〉
suspendu	[syspɑ̃dy]		悬挂的；暂停的〈adj.〉
suspense	[syspɛns]		悬念〈n.〉
suspension	[syspɑ̃sjɔ̃]		暂停；悬挂〈n.f.〉
suture	[sytyʁ]		缝合；缝线〈n.f.〉
suédois	[sɥedwa]		瑞典语；瑞典人〈n.m.〉
symbole	[sɛ̃bɔl]		象征；符号〈n.m.〉
symbolique	[sɛ̃bolik]		象征的；象征性的〈adj.〉
symboliser	[sɛ̃bolize]		象征；代表〈v.〉
sympa	[sɛ̃pa]		和气的；讨人喜欢的（口语）〈adj.〉
sympathie	[sɛ̃pati]		好感；同情〈n.f.〉
sympathique	[sɛ̃patik]		友好的；讨人喜欢的〈adj.〉
symptôme	[sɛ̃ptom]		症状；征兆〈n.m.〉
synagogue	[sinagɔg]		犹太教堂〈n.f.〉
syndicat	[sɛ̃dika]		工会〈n.m.〉
syndrome	[sɛ̃dʁom]		综合征；症候群〈n.m.〉
synthétique	[sɛ̃tetik]		合成的；人造的〈adj.〉
système	[sistɛm]		系统；体系〈n.m.〉
sève	[sɛv]		树液；汁液〈n.f.〉
séance	[seɑ̃s]		场次；会议〈n.f.〉
sécher	[seʃe]		弄干；变干〈v.〉
sécheresse	[seʃəʁɛs]		干旱；枯燥〈n.f.〉
sécuriser	[sekyʁize]		保护；使安全〈v.〉
sécurité	[sekyʁite]		安全；治安〈n.f.〉
sédatif	[sedatif]		镇静剂〈n.m.〉
séducteur	[sedyktœʁ]		引诱者；情场高手〈n.m.〉
séduction	[sedyksjɔ̃]		魅力；诱惑〈n.f.〉
séduire	[sedɥiʁ]		引诱；使着迷〈v.〉
séduisant	[sedɥizɑ̃]		迷人的；有吸引力的〈adj.〉
séisme	[seizm]		地震〈n.m.〉
séjour	[seʒuʁ]		逗留；居留〈n.m.〉
séjourner	[seʒuʁne]		小住；逗留〈v.〉
sélection	[selɛksjɔ̃]		挑选；选拔〈n.f.〉
sélectionner	[selɛksjone]		挑选；选拔〈v.〉
séminaire	[seminɛʁ]		研讨班；神学院〈n.m.〉
sénateur	[senatœʁ]		参议员〈n.m.〉
sénile	[senil]		衰老的；老糊涂的〈adj.〉
séparation	[sepaʁasjɔ̃]		分离；分开；分居〈n.f.〉
séparer	[sepaʁe]		分开；隔开〈v.〉
séparé	[sepaʁe]		分开的；分居的〈adj.〉
séparément	[sepaʁemɑ̃]		分开地；各自地〈adv.〉
séquence	[sekɑ̃s]		片段；序列〈n.f.〉
série	[seʁi]		系列；连续剧〈n.f.〉
sérieusement	[seʁjøzəmɑ̃]		认真地；严肃地〈adv.〉
sérieux	[seʁjø]		严肃的；认真的〈adj.〉
sérum	[seʁɔm]		血清；精华液〈n.m.〉
sérénité	[seʁenite]		安详；平静〈n.f.〉
sévir	[seviʁ]		肆虐；严厉打击〈v.〉
sévère	[sevɛʁ]		严厉的；严重的〈adj.〉
sévèrement	[sevɛʁəmɑ̃]		严厉地〈adv.〉
sûr	[syʁ]		确信的；安全的〈adj.〉
sûrement	[syʁəmɑ̃]		肯定；一定〈adv.〉
sûreté	[syʁəte]		安全；稳妥〈n.f.〉
t-shirt	[tiʃœʁt]		T恤衫〈n.m.〉
ta	[ta]		你的（阴性）〈adj.〉
tabac	[taba]		烟草〈n.m.〉
tabasser	[tabase]		毒打（口语）〈v.〉
table	[tabl]		桌子；餐桌〈n.f.〉
tableau	[tablo]		黑板；画；表格〈n.m.〉
tablette	[tablɛt]		薄板；药片；平板电脑〈n.f.〉
tablier	[tablije]		围裙〈n.m.〉
tabouret	[tabuʁɛ]		凳子〈n.m.〉
tache	[taʃ]		污渍；斑点〈n.f.〉
tacher	[taʃe]		弄脏；沾污〈v.〉
tact	[takt]		机敏；分寸〈n.m.〉
tactique	[taktik]		战术；策略〈n.f.〉
taille	[taj]		尺寸；身材〈n.f.〉
tailler	[taje]		切削；裁剪〈v.〉
tailleur	[tajœʁ]		裁缝；女式套装〈n.m.〉
taire	[tɛʁ]		沉默；闭口不言〈v.〉
talent	[talɑ̃]		才能；天赋〈n.m.〉
talentueux	[talɑ̃tɥø]		有才华的〈adj.〉
talon	[talɔ̃]		脚跟；鞋跟〈n.m.〉
tambour	[tɑ̃buʁ]		鼓（乐器）〈n.m.〉
tampon	[tɑ̃pɔ̃]		图章；棉塞；缓冲垫〈n.m.〉
tandis que	[tɑ̃dikø]		当…时；然而〈conj.〉
tango	[tɑ̃go]		探戈舞；探戈曲〈n.m.〉
tank	[tɑ̃k]		坦克〈n.m.〉
tanner	[tane]		鞣（皮革）；纠缠使厌烦（口语）〈v.〉
tant	[tɑ̃]		那么多；如此〈adv.〉
tante	[tɑ̃t]		姑母；姨母；婶母〈n.f.〉
tantôt	[tɑ̃to]		不久前；时而……时而〈adv.〉
tape	[tap]		轻拍；巴掌〈n.f.〉
taper	[tape]		敲；打；打字〈v.〉
tapette	[tapɛt]		苍蝇拍；男同性恋（贬）〈n.f.〉
tapis	[tapi]		地毯〈n.m.〉
taquiner	[takine]		打趣；逗弄〈v.〉
tard	[taʁ]		晚；迟〈adv.〉
tarder	[taʁde]		迟迟；耽搁〈v.〉
tardif	[taʁdif]		晚的；迟到的〈adj.〉
tarer	[taʁa]		校准；扣除皮重〈v.〉
tarif	[taʁif]		价目；收费〈n.m.〉
tarte	[taʁt]		果馅饼；挞〈n.f.〉
tartine	[taʁtin]		抹了酱的面包片〈n.f.〉
taré	[taʁe]		（俚语）疯子；怪人〈n.m.〉
tas	[ta]		堆；一堆〈n.m.〉
tasse	[tas]		杯子〈n.f.〉
tasser	[tase]		压实；挤在一处〈v.〉
tata	[tata]		姨妈；阿姨（儿语）〈n.f.〉
tatouage	[tatwaʒ]		纹身〈n.m.〉
tatouer	[tatwe]		纹身〈v.〉
taudis	[todi]		贫民窟；破屋〈n.m.〉
taule	[tol]		牢房（俚语）〈n.f.〉
taupe	[top]		鼹鼠；内奸〈n.f.〉
taureau	[toʁo]		公牛〈n.m.〉
taux	[to]		比率；率〈n.m.〉
taverne	[tavɛʁn]		酒馆；小酒馆〈n.f.〉
taxe	[taks]		税；税费〈n.f.〉
taxer	[takse]		征税；指责为〈v.〉
taxi	[taksi]		出租车〈n.m.〉
tchao	[tʃao]		再见（口语）〈interj.〉
te	[tə]		你（宾格）〈pron.〉
team	[tim]		团队（借词）〈n.m.〉
technicien	[tɛknisjɛ̃]		技术员；技师〈n.m.〉
technique	[tɛknik]		技术的；技巧〈adj.〉
techniquement	[tɛknikəmɑ̃]		技术上；严格来说〈adv.〉
technologie	[tɛknoloʒi]		技术；工艺〈n.f.〉
tee-shirt	[tiʃœʁt]		T恤衫〈n.m.〉
teindre	[tɛ̃dʁ]		染色〈v.〉
teint	[tɛ̃]		肤色；面色〈n.m.〉
tel	[tɛl]		如此的；这样的〈adj.〉
tellement	[tɛləmɑ̃]		如此；这么；非常〈adv.〉
tempe	[tɑ̃p]		太阳穴〈n.f.〉
temple	[tɑ̃pl]		寺庙；神殿〈n.m.〉
temporaire	[tɑ̃poʁɛʁ]		临时的；暂时的〈adj.〉
temporairement	[tɑ̃poʁɛʁəmɑ̃]		暂时地〈adv.〉
temporel	[tɑ̃poʁɛl]		时间的；世俗的〈adj.〉
temps	[tɑ̃]		时间；天气；时代〈n.m.〉
tempérament	[tɑ̃peʁamɑ̃]		气质；性情；脾气〈n.m.〉
température	[tɑ̃peʁatyʁ]		温度；体温〈n.f.〉
tempête	[tɑ̃pɛt]		风暴；暴风雨〈n.f.〉
tendance	[tɑ̃dɑ̃s]		趋势；时尚〈n.f.〉
tendre	[tɑ̃dʁ]		伸出；递；绷紧〈v.〉
tendrement	[tɑ̃dʁəmɑ̃]		温柔地〈adv.〉
tendresse	[tɑ̃dʁɛs]		温柔；温情〈n.f.〉
tendu	[tɑ̃dy]		绷紧的；紧张的〈adj.〉
tenir	[təniʁ]		握住；拿住；坚持〈v.〉
tennis	[tenis]		网球运动〈n.m.〉
tension	[tɑ̃sjɔ̃]		紧张；电压；张力〈n.f.〉
tentant	[tɑ̃tɑ̃]		诱人的〈adj.〉
tentation	[tɑ̃tasjɔ̃]		诱惑〈n.f.〉
tentative	[tɑ̃tativ]		企图；尝试〈n.f.〉
tente	[tɑ̃t]		帐篷〈n.f.〉
tenter	[tɑ̃te]		试图；尝试〈v.〉
tenu	[təny]		保持的；整洁的〈adj.〉
tenue	[təny]		服装；制服〈n.f.〉
tequila	[tekila]		龙舌兰酒〈n.f.〉
terme	[tɛʁm]		期限；术语〈n.m.〉
terminal	[tɛʁminal]		终点站；航站楼〈n.m.〉
terminer	[tɛʁmine]		结束；完成〈v.〉
terminus	[tɛʁminys]		终点站〈n.m.〉
termite	[tɛʁmit]		白蚁〈n.m.〉
terrain	[tɛʁɛ̃]		场地；土地；地形〈n.m.〉
terrasse	[tɛʁas]		露台；露天座〈n.f.〉
terrasser	[tɛʁase]		打垮；压倒〈v.〉
terre	[tɛʁ]		土地；地球；地面〈n.f.〉
terrestre	[tɛʁɛstʁ]		陆地的；地球的〈adj.〉
terreur	[tɛʁœʁ]		恐怖〈n.f.〉
terrible	[tɛʁibl]		可怕的；糟糕的〈adj.〉
terriblement	[tɛʁibləmɑ̃]		可怕地；极其〈adv.〉
terrien	[tɛʁjɛ̃]		地球的；陆生的〈adj.〉
terrifiant	[tɛʁifjɑ̃]		可怕的；骇人的〈adj.〉
terrifier	[tɛʁifje]		使惊恐〈v.〉
territoire	[tɛʁitwaʁ]		领土；地区〈n.m.〉
terroriser	[tɛʁoʁize]		恐吓；使惊恐〈v.〉
terrorisme	[tɛʁoʁizm]		恐怖主义〈n.m.〉
terroriste	[tɛʁoʁist]		恐怖分子〈n.〉
tes	[te]		你的（复数）〈adj.〉
test	[tɛst]		测试；检验〈n.m.〉
testament	[tɛstamɑ̃]		遗嘱〈n.m.〉
tester	[tɛste]		测试；试验〈v.〉
testicule	[tɛstikyl]		睾丸〈n.m.〉
texte	[tɛkst]		文本；课文〈n.m.〉
thanksgiving	[tɑ̃ksgiviŋ]		感恩节〈n.m.〉
thermique	[tɛʁmik]		热的；热量的〈adj.〉
thon	[tɔ̃]		金枪鱼〈n.m.〉
thorax	[toʁaks]		胸廓〈n.m.〉
thune	[tyn]		钱（俚语）〈n.f.〉
thème	[tɛm]		主题；题目〈n.m.〉
thèse	[tɛz]		论文；论点〈n.f.〉
thé	[te]		茶〈n.m.〉
théorie	[teoʁi]		理论；学说〈n.f.〉
théoriquement	[teoʁikəmɑ̃]		理论上〈adv.〉
thérapeute	[teʁapøt]		治疗师〈n.〉
thérapie	[teʁapi]		治疗；疗法〈n.f.〉
théâtre	[teatʁ]		剧院；戏剧〈n.m.〉
tibia	[tibja]		胫骨〈n.m.〉
tic	[tik]		习惯动作；抽搐〈n.m.〉
ticket	[tikɛ]		票；券〈n.m.〉
tien	[tjɛ̃]		你的（东西）〈pron.〉
tiens	[tjɛ̃]		喏；你看（口语）〈interj.〉
tiers	[tjɛʁ]		三分之一；第三方〈n.m.〉
tige	[tiʒ]		茎；杆〈n.f.〉
tigre	[tigʁ]		虎〈n.m.〉
timbre	[tɛ̃bʁ]		邮票；音色〈n.m.〉
timide	[timid]		害羞的；腼腆的〈adj.〉
timing	[tajmiŋ]		时机把握〈n.m.〉
tir	[tiʁ]		射击；发射〈n.m.〉
tirage	[tiʁaʒ]		抽签；印数；冲印〈n.m.〉
tirer	[tiʁe]		拉；拖；射〈v.〉
tireur	[tiʁœʁ]		射手；开枪的人〈n.m.〉
tiroir	[tiʁwaʁ]		抽屉〈n.m.〉
tisane	[tizan]		草药茶；花草茶〈n.f.〉
tisser	[tise]		编织；织造〈v.〉
tissu	[tisy]		布料；织物〈n.m.〉
titi	[titi]		顽童；小家伙（口语）〈n.m.〉
titre	[titʁ]		标题；头衔〈n.m.〉
tiède	[tjɛd]		温热的；不冷不热的〈adj.〉
toast	[tost]		吐司；祝酒〈n.m.〉
toc	[tɔk]		疯疯癫癫的（口语）〈adj.〉
toi	[twa]		你（重读）〈pron.〉
toi-même	[twamɛm]		你自己；你本人〈pron.〉
toile	[twal]		画布；帆布；蛛网〈n.f.〉
toilette	[twalɛt]		梳洗；厕所（常用复数）〈n.f.〉
toit	[twa]		屋顶〈n.m.〉
tolérance	[toleʁɑ̃s]		宽容；容忍〈n.f.〉
tolérant	[toleʁɑ̃]		宽容的；容忍的〈adj.〉
tolérer	[toleʁe]		容忍；容许〈v.〉
tomate	[tomat]		番茄〈n.f.〉
tombe	[tɔ̃b]		坟墓〈n.f.〉
tombeau	[tɔ̃bo]		坟墓；陵墓〈n.m.〉
tomber	[tɔ̃be]		跌倒；落下〈v.〉
tombée	[tɔ̃be]		降临；落下之时〈n.f.〉
ton	[tɔ̃]		你的〈adj.〉
tondre	[tɔ̃dʁ]		剪（草、羊毛）〈v.〉
tonne	[tɔn]		公吨；吨〈n.f.〉
tonneau	[tono]		大桶；酒桶〈n.m.〉
tonnerre	[tonɛʁ]		雷；雷声〈n.m.〉
tonton	[tɔ̃tɔ̃]		叔叔（儿语）〈n.m.〉
top	[tɔp]		顶端；顶尖〈n.m.〉
topo	[topo]		概况；情况说明（口语）〈n.m.〉
torche	[tɔʁʃ]		抹布；擦布〈n.f.〉
torchon	[tɔʁʃɔ̃]		抹布；洗碗布〈n.m.〉
tordre	[tɔʁdʁ]		拧；扭〈v.〉
tordu	[tɔʁdy]		扭曲的；古怪的〈adj.〉
tornade	[tɔʁnad]		龙卷风〈n.f.〉
torpille	[tɔʁpij]		鱼雷〈n.f.〉
torrent	[toʁɑ̃]		激流；急流〈n.m.〉
torse	[tɔʁs]		躯干；上身〈n.m.〉
tort	[tɔʁ]		过错；不对；损害〈n.m.〉
tortue	[tɔʁty]		乌龟〈n.f.〉
torture	[tɔʁtyʁ]		拷打；折磨〈n.f.〉
torturer	[tɔʁtyʁe]		拷打；折磨〈v.〉
torturé	[tɔʁtyʁe]		受刑的；扭曲的〈adj.〉
total	[total]		全部的；总的〈adj.〉
totalement	[totaləmɑ̃]		完全地〈adv.〉
totalité	[totalite]		全部；整体〈n.f.〉
toubib	[tubib]		大夫（口语）〈n.m.〉
touchant	[tuʃɑ̃]		感人的〈adj.〉
touche	[tuʃ]		按键；琴键；笔触〈n.f.〉
toucher	[tuʃe]		触摸；碰；触及〈v.〉
touché	[tuʃe]		感动的；受触动的〈adj.〉
touffe	[tuf]		一簇；一丛〈n.f.〉
toujours	[tuʒuʁ]		总是；一直〈adv.〉
toupet	[tupɛ]		额发；一绺头发；厚脸皮〈n.m.〉
tour	[tuʁ]		塔；塔楼；轮流〈n.〉
tourbillon	[tuʁbijɔ̃]		漩涡；旋风〈n.m.〉
tourisme	[tuʁizm]		旅游业；观光〈n.m.〉
touriste	[tuʁist]		游客〈n.〉
touristique	[tuʁistik]		旅游的；观光的〈adj.〉
tourment	[tuʁmɑ̃]		痛苦；折磨〈n.m.〉
tourmenter	[tuʁmɑ̃te]		折磨；使烦恼〈v.〉
tourmenté	[tuʁmɑ̃te]		备受折磨的；坎坷的〈adj.〉
tournage	[tuʁnaʒ]		拍摄〈n.m.〉
tournant	[tuʁnɑ̃]		转折点；弯道〈n.m.〉
tourner	[tuʁne]		转动；转向；拍摄〈v.〉
tournevis	[tuʁnəvis]		螺丝刀〈n.m.〉
tournoi	[tuʁnwa]		锦标赛；联赛〈n.m.〉
tournure	[tuʁnyʁ]		表达方式；体态〈n.f.〉
tourné	[tuʁne]		转向…的；倾向…的〈adj.〉
tournée	[tuʁne]		巡回；一轮（请客）〈n.f.〉
tous	[tus]		大家；所有人〈pron.〉
tousser	[tuse]		咳嗽〈v.〉
tout	[tu]		全部；所有；整个〈adj.〉
tout-puissant	[tupɥisɑ̃]		全能的；权力至上的〈adj.〉
toutefois	[tutəfwa]		然而；不过〈adv.〉
toutou	[tutu]		狗狗（儿语）〈n.m.〉
toux	[tu]		咳嗽〈n.f.〉
toxine	[tɔksin]		毒素〈n.f.〉
toxique	[tɔksik]		有毒的〈adj.〉
trac	[tʁak]		怯场；发怵（口语）〈n.m.〉
tracasser	[tʁakase]		烦扰；使担忧〈v.〉
trace	[tʁas]		痕迹；踪迹〈n.f.〉
tracer	[tʁase]		划线；勾勒〈v.〉
tract	[tʁakt]		传单〈n.m.〉
tracteur	[tʁaktœʁ]		拖拉机〈n.m.〉
tradition	[tʁadisjɔ̃]		传统〈n.f.〉
traditionnel	[tʁadisjonɛl]		传统的〈adj.〉
traducteur	[tʁadyktœʁ]		译者；翻译者〈n.m.〉
traduction	[tʁadyksjɔ̃]		翻译；译文〈n.f.〉
traduire	[tʁadɥiʁ]		翻译〈v.〉
trafic	[tʁafik]		交通；非法交易〈n.m.〉
trafiquant	[tʁafikɑ̃]		贩子；走私者〈n.m.〉
trafiquer	[tʁafike]		非法买卖；篡改〈v.〉
tragique	[tʁaʒik]		悲剧性的；悲惨的〈adj.〉
tragédie	[tʁaʒedi]		悲剧〈n.f.〉
trahir	[tʁaiʁ]		背叛；泄露〈v.〉
trahison	[tʁaizɔ̃]		背叛〈n.f.〉
train	[tʁɛ̃]		火车〈n.m.〉
traire	[tʁɛʁ]		挤奶〈v.〉
trait	[tʁɛ]		线条；笔画；特征〈n.m.〉
traite	[tʁɛt]		挤奶；汇票；贩卖〈n.f.〉
traitement	[tʁɛtəmɑ̃]		处理；治疗；待遇〈n.m.〉
traiter	[tʁete]		对待；处理〈v.〉
traiteur	[tʁɛtœʁ]		酒席承办商；熟食商〈n.m.〉
traité	[tʁete]		条约〈n.m.〉
trajectoire	[tʁaʒɛktwaʁ]		轨迹；弹道〈n.f.〉
trajet	[tʁaʒɛ]		路程；行程〈n.m.〉
tram	[tʁam]		有轨电车〈n.m.〉
tramer	[tʁame]		密谋；酝酿〈v.〉
tranchant	[tʁɑ̃ʃɑ̃]		锋利的；斩钉截铁的〈adj.〉
tranche	[tʁɑ̃ʃ]		片；部分；年龄段〈n.f.〉
trancher	[tʁɑ̃ʃe]		切断；果断决定〈v.〉
tranchée	[tʁɑ̃ʃe]		战壕；沟渠〈n.f.〉
tranquille	[tʁɑ̃kil]		安静的；平静的〈adj.〉
tranquillement	[tʁɑ̃kiləmɑ̃]		平静地；安心地〈adv.〉
tranquillisant	[tʁɑ̃kilizɑ̃]		镇静剂〈n.m.〉
tranquillité	[tʁɑ̃kilite]		安宁；平静〈n.f.〉
transaction	[tʁɑ̃zaksjɔ̃]		交易；买卖〈n.f.〉
transcender	[tʁɑ̃sɑ̃de]		超越〈v.〉
transe	[tʁɑ̃s]		恍惚；出神〈n.f.〉
transfert	[tʁɑ̃sfɛʁ]		转移；转会〈n.m.〉
transformation	[tʁɑ̃sfɔʁmasjɔ̃]		转变；改造〈n.f.〉
transformer	[tʁɑ̃sfɔʁme]		使变形；改造〈v.〉
transfusion	[tʁɑ̃sfyzjɔ̃]		输血〈n.f.〉
transférer	[tʁɑ̃sfeʁe]		转移；转账〈v.〉
transition	[tʁɑ̃zisjɔ̃]		过渡；转变〈n.f.〉
transmettre	[tʁɑ̃smɛtʁ]		传递；传送；传染〈v.〉
transmission	[tʁɑ̃smisjɔ̃]		传送；传染；传动〈n.f.〉
transparent	[tʁɑ̃spaʁɑ̃]		透明的；显而易见的〈adj.〉
transpercer	[tʁɑ̃spɛʁse]		刺穿；穿透〈v.〉
transpirer	[tʁɑ̃spiʁe]		出汗〈v.〉
transplantation	[tʁɑ̃splɑ̃tasjɔ̃]		移植〈n.f.〉
transport	[tʁɑ̃spɔʁ]		运输；交通〈n.m.〉
transporter	[tʁɑ̃spɔʁte]		运输；运送；使感动〈v.〉
transporteur	[tʁɑ̃spɔʁtœʁ]		承运商；运输公司〈n.m.〉
trappe	[tʁap]		活板门；舱口〈n.f.〉
traquer	[tʁake]		追捕；围捕〈v.〉
trauma	[tʁoma]		创伤〈n.m.〉
traumatiser	[tʁomatize]		使受创伤〈v.〉
traumatisme	[tʁomatizm]		创伤；外伤〈n.m.〉
travail	[tʁavaj]		工作；劳动〈n.m.〉
travailler	[tʁavaje]		工作；劳动〈v.〉
travailleur	[tʁavajœʁ]		劳动者；工人〈n.m.〉
travers	[tʁavɛʁ]		横穿；穿过（短语中）〈n.m.〉
traverser	[tʁavɛʁse]		穿过；横穿〈v.〉
traversée	[tʁavɛʁse]		横渡；穿越〈n.f.〉
travesti	[tʁavɛsti]		男扮女装者〈n.m.〉
traîne	[tʁɛn]		裙裾；拖曳部分〈n.f.〉
traîneau	[tʁɛno]		雪橇〈n.m.〉
traîner	[tʁene]		拖；磨蹭；闲逛〈v.〉
traînée	[tʁene]		痕迹；尾迹〈n.f.〉
traître	[tʁɛtʁ]		叛徒〈n.m.〉
treize	[tʁɛz]		十三〈adj.〉
tremblant	[tʁɑ̃blɑ̃]		颤抖的；摇晃的〈adj.〉
tremblement	[tʁɑ̃bləmɑ̃]		颤抖；地震〈n.m.〉
trembler	[tʁɑ̃ble]		发抖；颤抖〈v.〉
trempe	[tʁɑ̃p]		淬火；秉性〈n.f.〉
tremper	[tʁɑ̃pe]		浸泡；浸湿〈v.〉
trempé	[tʁɑ̃pe]		湿透的〈adj.〉
trentaine	[tʁɑ̃tɛn]		三十来个；三十多岁〈n.f.〉
trente	[tʁɑ̃t]		三十〈adj.〉
triangle	[tʁijɑ̃gl]		三角形〈n.m.〉
tribord	[tʁibɔʁ]		右舷〈n.m.〉
tribu	[tʁiby]		部落；大家族〈n.f.〉
tribunal	[tʁibynal]		法庭；法院〈n.m.〉
tribune	[tʁibyn]		看台；讲坛〈n.f.〉
tricher	[tʁiʃe]		作弊；欺诈〈v.〉
tricheur	[tʁiʃœʁ]		作弊者；骗子〈n.m.〉
tricoter	[tʁikote]		编织；打毛线〈v.〉
trier	[tʁije]		分拣；挑选〈v.〉
trimballer	[tʁɛ̃bale]		拖着；拎来拎去〈v.〉
trimer	[tʁime]		苦干；辛苦劳作〈v.〉
trimestre	[tʁimɛstʁ]		学期；季度〈n.m.〉
trinquer	[tʁɛ̃ke]		碰杯〈v.〉
trio	[tʁijo]		三人组；三重奏〈n.m.〉
triomphe	[tʁijɔ̃f]		胜利；凯旋〈n.m.〉
triompher	[tʁijɔ̃fe]		获胜；凯旋〈v.〉
trip	[tʁip]		（口语）旅行；迷幻体验〈n.m.〉
tripe	[tʁip]		肠子；内脏〈n.f.〉
triple	[tʁipl]		三倍的；三重的〈adj.〉
tripoter	[tʁipote]		摆弄；乱摸〈v.〉
triste	[tʁist]		悲伤的；难过的〈adj.〉
tristesse	[tʁistɛs]		悲伤〈n.f.〉
trois	[tʁwa]		三；三个〈adj.〉
troisième	[tʁwazjɛm]		第三〈adj.〉
trombone	[tʁɔ̃bɔn]		回形针；长号〈n.m.〉
trompe	[tʁɔ̃p]		象鼻；号角〈n.f.〉
tromper	[tʁɔ̃pe]		欺骗；使上当〈v.〉
trompette	[tʁɔ̃pɛt]		小号；喇叭〈n.〉
trompeur	[tʁɔ̃pœʁ]		骗人的；误导的〈adj.〉
tronc	[tʁɔ̃]		树干；躯干〈n.m.〉
tronche	[tʁɔ̃ʃ]		脸（口语）〈n.f.〉
trop	[tʁo]		太；过于〈adv.〉
trophée	[tʁofe]		奖杯〈n.m.〉
tropical	[tʁopikal]		热带的〈adj.〉
trotter	[tʁote]		小跑；疾走〈v.〉
trottoir	[tʁotwaʁ]		人行道〈n.m.〉
trou	[tʁu]		洞；孔；破洞〈n.m.〉
troublant	[tʁublɑ̃]		令人不安的；撩人的〈adj.〉
trouble	[tʁubl]		混乱；骚动；失调〈n.m.〉
troubler	[tʁuble]		扰乱；使不安〈v.〉
troublé	[tʁuble]		心烦意乱的；混浊的〈adj.〉
trouduc	[tʁudyk]		混蛋；蠢货（粗俗）〈n.m.〉
trouer	[tʁue]		打穿；穿洞〈v.〉
trouillard	[tʁujaʁ]		胆小鬼（口语）〈n.m.〉
trouille	[tʁuj]		恐惧；害怕（口语）〈n.f.〉
troupe	[tʁup]		部队；队伍；剧团〈n.f.〉
troupeau	[tʁupo]		畜群；一群（人）〈n.m.〉
trousse	[tʁus]		铅笔盒；化妆包〈n.f.〉
trouver	[tʁuve]		找到；发现；觉得〈v.〉
truand	[tʁyɑ̃]		坏蛋；无赖〈n.m.〉
truc	[tʁyk]		东西；玩意儿（口语）〈n.m.〉
truffe	[tʁyf]		松露〈n.f.〉
truie	[tʁɥi]		母猪〈n.f.〉
truite	[tʁɥit]		鳟鱼〈n.f.〉
truquer	[tʁyke]		做手脚；暗中操纵〈v.〉
trèfle	[tʁɛfl]		三叶草；梅花（纸牌）〈n.m.〉
très	[tʁɛ]		很；非常〈adv.〉
trébucher	[tʁebyʃe]		绊倒〈v.〉
trésor	[tʁezɔʁ]		珍宝；宝物〈n.m.〉
trêve	[tʁɛv]		休战；停战〈n.f.〉
trône	[tʁon]		王座；王位〈n.m.〉
tsar	[tsaʁ]		沙皇〈n.m.〉
tu	[ty]		你（主格）〈pron.〉
tube	[tyb]		管子；软管〈n.m.〉
tuberculose	[tybɛʁkyloz]		肺结核〈n.f.〉
tuer	[tɥe]		杀；杀死〈v.〉
tuerie	[tyʁi]		屠杀〈n.f.〉
tueur	[tɥœʁ]		杀手；凶手〈n.m.〉
tueuse	[tɥøz]		女杀手〈n.f.〉
tuile	[tɥil]		瓦；意外的烦心事〈n.f.〉
tulipe	[tylip]		郁金香〈n.f.〉
tumeur	[tymœʁ]		肿瘤〈n.f.〉
tunnel	[tynɛl]		隧道〈n.m.〉
turc	[tyʁk]		土耳其的；土耳其人〈adj.〉
tuteur	[tytœʁ]		监护人；支撑杆〈n.m.〉
tutoyer	[tytwaje]		以「你」相称〈v.〉
tuyau	[tɥijo]		管子；内幕消息〈n.m.〉
type	[tip]		类型；家伙（口语）〈n.m.〉
